design,Barely Pass_TCP,Barely Pass_WS,Barely Pass_SCPR,Barely Fail_TCP,Barely Fail_WS,Barely Fail_SCPR
ac97_ctrl,0.375,0.003,0.802%,0.35,-0.0066,-1.896%
aes_core,0.75,0.0074,0.985%,0.725,-0.0105,-1.447%
des3_area,1.225,0.0014,0.113%,1.2,-0.0042,-0.347%
ethernet,0.75,0.0166,2.216%,0.725,-0.0404,-5.570%
i2c,0.375,0.0042,1.131%,0.35,-0.0079,-2.267%
jpeg,1.125,0.0343,3.051%,1.1,-0.0234,-2.129%
mem_ctrl,0.875,0.0006,0.074%,0.85,-0.0043,-0.508%
pci,0.825,0.0378,4.583%,0.81,-0.0257,-3.168%
sasc,0.4,0.0177,4.432%,0.375,-0.0031,-0.822%
simple_spi,0.325,0.0039,1.197%,0.3,-0.0052,-1.726%
spi,0.775,0.0047,0.610%,0.75,-0.0012,-0.164%
ss_pcm,0.275,0.0044,1.584%,0.25,-0.011,-4.396%
systemcaes,0.85,0.0059,0.700%,0.825,-0.0031,-0.371%
systemcdes,0.75,0.0066,0.882%,0.725,-0.0062,-0.860%
tv80,1.2,0.0058,0.482%,1.175,-0.0217,-1.849%
usb_funct,0.425,0.0041,0.970%,0.4,-0.001,-0.249%
usb_phy,0.3,0.004,1.324%,0.275,-0.0066,-2.413%
wb_dma,0.7,0.0063,0.902%,0.675,-0.0003,-0.039%
