design,Barely Pass_TCP,Barely Pass_WS,Barely Pass_SCPR,Barely Fail_TCP,Barely Fail_WS,Barely Fail_SCPR
ac97_ctrl,2.35,0.0415,1.768%,2.3,-0.0612,-2.662%
aes_core,4.25,0.1046,2.461%,4.0,-0.3553,-8.883%
des3_area,8.5,0.2,2.353%,8.25,-0.0561,-0.680%
ethernet,5.5,0.1467,2.667%,5.25,-0.1679,-3.198%
i2c,2.25,0.0197,0.875%,2.0,-0.0857,-4.285%
jpeg,5.5,0.1467,2.667%,5.25,-0.1679,-3.198%
mem_ctrl,5.25,0.256,4.876%,5.0,-0.1356,-2.712%
pci,3.5,0.2581,7.374%,3.25,-0.0176,-0.542%
sasc,2.0,0.0537,2.683%,1.75,-0.0443,-2.529%
simple_spi,1.75,0.0709,4.049%,1.5,-0.0196,-1.308%
spi,4.75,0.1467,3.088%,4.5,-0.0779,-1.731%
ss_pcm,1.4,0.1014,7.243%,1.2,-0.0859,-7.155%
systemcaes,5.5,0.0415,0.755%,5.25,-0.3941,-7.507%
systemcdes,4.0,0.2955,7.387%,3.75,-0.0634,-1.691%
tv80,7.5,0.2298,3.064%,7.25,-0.1341,-1.850%
usb_funct,3.25,0.1478,4.548%,3.0,-0.1618,-5.393%
usb_phy,1.4,0.0876,6.260%,1.25,-0.036,-2.881%
wb_dma,4.5,0.1333,2.962%,4.25,-0.0114,-0.269%
