design,Barely Pass_TCP,Barely Pass_WS,Barely Pass_SCPR,Barely Fail_TCP,Barely Fail_WS,Barely Fail_SCPR
ac97_ctrl,2.5,0.0233,0.930%,2.25,-0.0341,-1.516%
aes_core,4.75,0.0723,1.523%,4.5,-0.0889,-1.976%
des3_area,7.75,0.0138,0.178%,7.5,-0.2478,-3.304%
ethernet,5.25,0.0856,1.631%,5.0,-0.1807,-3.614%
i2c,2.75,0.0772,2.805%,2.5,-0.1254,-5.016%
jpeg,6.0,0.0228,0.380%,5.75,-0.372,-6.470%
mem_ctrl,6.25,0.0185,0.296%,6.0,-0.1917,-3.195%
pci,3.75,0.0862,2.297%,3.5,-0.2461,-7.031%
sasc,2.25,0.0785,3.488%,2.0,-0.0914,-4.572%
simple_spi,2.25,0.0828,3.680%,1.9,-0.1071,-5.637%
spi,4.75,0.1341,2.823%,4.5,-0.1181,-2.624%
ss_pcm,1.5,0.0594,3.963%,1.35,-0.0174,-1.286%
systemcaes,5.75,0.1246,2.167%,5.5,-0.1404,-2.553%
systemcdes,5.0,0.1677,3.354%,4.8,-0.0352,-0.732%
tv80,8.25,0.0654,0.793%,8.0,-0.2718,-3.397%
usb_funct,2.75,0.023,0.835%,2.5,-0.0448,-1.791%
usb_phy,1.75,0.1531,8.749%,1.5,-0.0402,-2.677%
wb_dma,4.25,0.0602,1.415%,4.0,-0.0645,-1.613%
